scenario,arm,e2e_s,codex_s,retrieval_s,jev_s,jev_requests,jev_failures,tool_calls,input_tokens,cached_input_tokens,output_tokens,jev_input_tokens,returncode
snake,A,163.7197836660198,163.7192141250125,0.0,0.0,0,0,4,177748,143232,7952,0,0
snake,C,177.66054166603135,176.75964595901314,0.0,0.8993063340312801,1,0,5,211974,176256,8659,1010,0
mr,A,417.52924425000674,417.52854900000966,0.0,0.0,0,0,45,5797786,5578240,18115,0,0
mr,C,289.9569352499966,242.20022658398375,0.0,47.726466624997556,43,0,27,3232516,3063808,10365,428007,0
crash,A,212.72801225000876,212.72760670798016,0.0,0.0,0,0,43,854849,761472,9375,0,0
crash,C,252.18230287503684,251.23330166598316,0.0,0.9465473750024103,1,0,19,1221907,1122560,10616,5024,0
crash_fixed,A,175.5196280410164,175.51930662500672,0.0,0.0,0,0,15,742953,669056,7590,0,0
crash_fixed,C,188.87168841599487,187.9688075829763,0.0,0.9007400419795886,1,0,17,1096806,1006464,7554,5024,0
drn,A,63.849151333997725,39.780675624992,24.067961458989885,0.0,0,0,0,27677,0,1569,0,0
drn,C,53.26389837500756,28.96248541699606,23.42381304097944,0.8767119999974966,1,0,0,27950,0,1151,1888,0
drn_fixed,A,35.82838104100665,35.82728812500136,0.0006682910025119781,0.0,0,0,0,27803,0,1442,0,0
drn_fixed,C,34.02438508399064,33.11155166698154,0.00048470799811184406,0.9100375000271015,1,0,0,26234,19072,1333,1951,0
