case_number,source_group_number,scenario,phase,arm,status,decision_correct,evidence_correct,exact_correct,direct,e2e_s,jev_s,codex_s,confidence,codex_input_tokens,codex_cached_tokens,codex_output_tokens,jev_input_tokens,jev_output_tokens
1,1,crash,dev,A,ok,1,1,1,0,10.890019666985609,0,10.887752541981172,,25474,0,23,0,0
1,1,crash,dev,B,ok,1,1,1,0,0.9039254169911146,0.9018794999574311,0,0.99,0,0,0,1000,157
2,1,crash,dev,A,ok,1,1,1,0,9.493689583032392,0,9.49268533301074,,25474,0,23,0,0
2,1,crash,dev,B,ok,1,1,1,0,1.154263791977428,1.1537981660221703,0,0.99,0,0,0,1000,157
3,2,crash,dev,A,ok,1,1,1,0,9.748011124960613,0,9.745709166978486,,25511,0,24,0,0
3,2,crash,dev,B,ok,1,1,1,0,0.8136539589613676,0.8126993749756366,0,0.97,0,0,0,1045,158
4,2,crash,dev,A,ok,1,1,1,0,12.952199374965858,0,12.950405250012409,,25511,21760,24,0,0
4,2,crash,dev,B,ok,1,1,1,0,0.8102037079515867,0.8096541250124574,0,0.97,0,0,0,1045,158
5,3,crash,dev,A,ok,1,1,1,0,8.985550999990664,0,8.98434712504968,,25531,0,23,0,0
5,3,crash,dev,B,ok,1,1,1,0,0.8334195410134271,0.8329301250050776,0,0.99,0,0,0,1067,158
6,3,crash,dev,A,ok,1,1,1,0,11.181478541984688,0,11.180124833015725,,25482,0,26,0,0
6,3,crash,dev,B,ok,1,1,1,0,1.092467584006954,1.0917275000247173,0,0.99,0,0,0,1013,161
7,4,crash,dev,A,ok,1,1,1,0,15.021138791984413,0,15.020133375015575,,25504,0,23,0,0
7,4,crash,dev,B,ok,1,1,1,0,0.9829443749622442,0.9824719579773955,0,0.99,0,0,0,1033,158
8,4,crash,dev,A,ok,1,1,1,0,8.172860250051599,0,8.171528917038813,,25504,0,23,0,0
8,4,crash,dev,B,ok,1,1,1,0,0.8774471250362694,0.8770323749631643,0,0.99,0,0,0,1035,158
9,5,crash,dev,A,ok,1,1,1,0,11.509537042002194,0,11.50852108298568,,25492,0,25,0,0
9,5,crash,dev,B,ok,1,1,1,0,1.0913130000117235,1.090957125008572,0,1.0,0,0,0,1019,162
10,5,crash,dev,A,ok,1,1,1,0,12.799839833984151,0,12.784369874978438,,25492,21760,25,0,0
10,5,crash,dev,B,ok,1,1,1,0,0.9696471670176834,0.9686460829689167,0,1.0,0,0,0,1019,162
11,6,rn,dev,A,ok,1,1,1,0,13.928879290993791,0,13.927410707983654,,25299,0,22,0,0
11,6,rn,dev,B,ok,1,1,1,0,1.174476540996693,1.1740277500357479,0,0.99,0,0,0,889,143
12,6,rn,dev,A,ok,1,1,1,0,9.935819416015875,0,9.934406957996543,,25292,0,22,0,0
12,6,rn,dev,B,ok,1,1,1,0,1.1080465840059333,1.1068809169810265,0,0.93,0,0,0,879,143
13,6,rn,dev,A,ok,1,1,1,0,10.459590208018199,0,10.45703545800643,,25293,0,25,0,0
13,6,rn,dev,B,ok,1,1,1,0,1.1430856669903733,1.1422167909913696,0,0.99,0,0,0,876,146
14,6,rn,dev,A,ok,1,1,1,0,9.626212041999679,0,9.624598291004077,,25288,0,25,0,0
